row_id,county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k
10,3cc65a1,e74aca3,963541.0,191320.0,50.311,6749.0,32.229,0.5285365756109267,0.26328840539135306,0.14123305203375594,0.004929408470983482,0.03737551493820741,9.998800143982723e-05,0.023437187537495498,0.0010998680158380994,17.115,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.069,0.178,0.04,0.316,0.208,0.1,0.091,0.214,0.249,12.193995413112182,11.32,7.140000000000001,271,1519.0,1330.0,0.515,0.247,0.118,0.1347305389221557,0.28243512974051893,0.2934131736526946,0.2894211576846307,14.594268672,8.5249923977
11,170b0b3,fb8cab1,2352.0,277.0,25.94,,21.172,0.965858166317233,0.012410695654766046,0.00386530072834587,0.009409870924790589,0.002086666202963066,0.0,0.00636930017190155,0.0,4.165,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.519,0.024,0.135,0.077,0.303,0.157,0.098,,0.179,0.32,10.116450040869216,,,243,2400.0,,0.494,0.177,0.275,0.11741293532338307,0.3771144278606965,0.3253731343283582,0.18009950248756215,7.8125,17.795138889
12,0921795,1b0d913,7218.0,823.0,26.178,3.0,30.468,0.42811788666586803,0.05890339842658042,0.49340082265085267,0.0007986901481570226,0.0007887065213050598,0.0,0.015814064933509047,0.0021764306537278865,16.538,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.484,0.043,0.271,0.123,0.301,,0.118,0.08,,0.291,8.690780883851891,,23.8,293,3689.0,,0.497,0.233,0.202,0.19919919919919923,0.3623623623623624,0.3413413413413414,0.09709709709709712,11.608850040999998,13.657470636
13,7516a19,485e9af,244240.0,21112.0,22.737,512.0,31.793,0.795075988449356,0.11630579230823034,0.05193793027647606,0.003726981145272329,0.015257641310538462,9.991906555689892e-05,0.01477802979586535,0.002817717648704549,8.758,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.467,0.057,0.206,0.054,0.29,0.204,0.104,0.08,0.2,0.246,11.857438849113821,3.3899999999999997,18.44,251,1329.0,1320.0,0.516,0.248,0.138,0.11530815109343936,0.26938369781312127,0.3101391650099404,0.305168986083499,12.242733692,8.6067646222
14,5c62775,4cd9667,17882.0,1898.0,25.902,,23.007,0.7409537335226932,0.0048206748944852286,0.16093253055427761,0.01010141419798772,0.06653931550417058,0.00090012601764247,0.011181565419158684,0.004570639889584543,4.139,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.473,0.042,0.055,0.029,0.185,0.094,0.068,0.1,0.114,0.154,9.773509719570548,,,148,1010.0,580.0,0.496,0.233,0.157,0.029940119760479042,0.10778443113772455,0.21956087824351297,0.6427145708582834,10.257855432000001,6.3125264196
15,acba287,4522abc,991145.0,195220.0,47.798,4190.0,30.317,0.4039983549166926,0.4353652787112177,0.07675717968522737,0.001905889197620648,0.06255328966506506,0.00030092987330852333,0.016801917926392556,0.0023171600244756303,12.916,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.517,0.071,0.271,0.095,0.23,0.133,0.08,0.111,0.179,0.197,13.188571510137109,12.8,10.52,256,1610.0,1030.0,0.512,0.234,0.096,0.09072781655034894,0.18045862412761712,0.2352941176470588,0.493519441674975,12.632217769,6.101172038
16,802a8ff,1646cf6,1218942.0,198288.0,35.131,3434.0,28.559,0.7956408998528278,0.1293313176416407,0.018421553217264196,0.001011183084208524,0.03234784698096773,0.0002002342741006978,0.0214350790424797,0.0016118859065106174,9.043,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.52,0.053,0.125,0.039,0.275,0.192,0.092,0.08,0.191,0.249,14.09340675589431,6.63,7.37,278,1230.0,929.0,0.519,0.194,0.169,0.06633165829145729,0.2984924623115578,0.2592964824120603,0.3758793969849246,10.830001415,10.762694030999999
17,d5b0571,1646cf6,87762.0,11465.0,29.449,112.0,32.547,0.939076005961252,0.0231892697466468,0.012896174863387979,0.0016989567809239943,0.011117734724292103,0.00029806259314456036,0.01122702434177844,0.0004967709885742674,9.458,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Mining-dependent,0.497,0.061,0.143,0.069,0.296,0.174,0.098,0.07,0.157,0.263,13.63801962904467,,17.21,253,2919.0,1890.0,0.507,0.183,0.161,0.11422845691382766,0.43987975951903807,0.22144288577154309,0.22444889779559118,9.9851587333,10.178493242
18,51afca9,20d32fc,41839.0,3341.0,20.694,110.0,26.952,0.8489570319137241,0.06517675985247524,0.06374748878072184,0.0034982159098859585,0.004107904968466082,0.0,0.012413669028795316,0.002098929545931575,8.205,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.476,0.059,0.197,0.08,0.282,0.225,0.119,0.081,0.123,0.26,12.556771422978512,2.94,19.44,225,3480.0,2590.0,0.512,0.228,0.18,0.14855433698903286,0.3190428713858424,0.29012961116650043,0.2422731804586241,9.4919511635,10.168222493
19,148eadd,1646cf6,17479.0,1801.0,22.804,12.0,30.329,0.9689578934788671,0.0052483766880452535,0.011064414611799385,0.0017726964904593075,0.0034955981356809937,0.000199179380950484,0.007658447197546109,0.0016033940166513961,11.567,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.442,0.074,0.158,0.077,0.318,0.179,0.112,0.08,0.181,0.273,12.833888529340326,,16.14,242,3550.0,1929.0,0.496,0.214,0.204,0.12248995983935743,0.4799196787148594,0.2399598393574297,0.1576305220883534,10.098095788,12.060011541
20,58d1c1f,a952566,33020.0,4079.0,29.231,114.0,27.552,0.609130625598468,0.2863070539419087,0.08761570379827642,0.003959862751356527,0.0013864506862432174,0.0,0.01130106926268752,0.00029923396105968717,12.208,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.492,0.067,0.239,0.107,0.356,0.214,0.129,0.1,0.152,0.307,12.025203556178742,7.66,30.94,272,3750.0,2219.0,0.51,0.212,0.199,0.19740777666999001,0.3988035892323031,0.2163509471585244,0.18743768693918242,11.508873948,12.296323218
21,802cc0d,8036085,7816.0,970.0,25.596,5.0,23.751,0.9432715183006343,0.006121778600651,0.029872288748867725,0.004867560545883478,0.0004977055772886992,0.002717472451996298,0.012651675774678732,0.0,6.413,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.546,0.046,0.284,0.194,0.229,0.128,0.077,,0.2,0.289,10.651340810924887,,37.35,206,7890.0,1529.0,0.487,0.166,0.231,0.058467741935483875,0.36088709677419356,0.3175403225806452,0.26310483870967744,6.5810697464,9.290921995
22,93660a5,9dda412,10111.0,920.0,21.095,3.0,28.268,0.9080871291894819,0.004633251098140682,0.04100728082315422,0.023878291914876542,0.005916922398058446,0.0,0.016477124576288183,0.0,7.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.544,0.042,0.115,0.072,0.251,0.296,0.094,0.05,0.245,0.211,13.025903901039163,,23.3,206,2079.0,1280.0,0.49,0.23,0.194,0.09547738693467336,0.36683417085427134,0.3748743718592965,0.1628140703517588,10.40943789,10.607712897999999
23,ee532a9,5086a32,2318272.0,465328.0,56.318,,33.998,0.2632957977478649,0.17425045502730166,0.2794767686061164,0.0022001320079204755,0.23997439846390786,0.00040002400144008646,0.02162129727783667,0.018781126867612057,12.271,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.494,0.064,0.25,0.058,0.228,0.132,0.093,0.08,0.146,0.277,10.76742604891214,3.49,5.07,254,1439.0,1519.0,0.513,0.207,0.131,0.1968031968031968,0.2727272727272727,0.22777222777222775,0.30269730269730266,13.138188196,6.081860084700001
24,0a4702d,e899d7f,13429.0,1034.0,18.362,10.0,32.843,0.5578093508670404,0.4306766707241633,0.0035918823458982695,9.977450960828527e-05,0.0,0.0,0.00772254704368128,9.977450960828527e-05,16.789,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.338,0.09,0.22,0.064,0.391,0.201,0.174,0.119,,0.378,12.797011662818978,,44.97,355,2289.0,2719.0,0.521,0.219,0.195,0.23523523523523523,0.37037037037037035,0.2772772772772773,0.11711711711711713,10.639094927999999,13.261407058
25,3566a99,158df01,537958.0,76931.0,33.949,3192.0,29.999,0.787563168994469,0.14093151884127172,0.01835382595201146,0.0018801480243523935,0.025357128645895507,0.00019895746289443316,0.02453145517488361,0.0011837969042218773,10.724,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.497,0.059,0.169,0.062,0.291,0.188,0.105,0.09,0.182,0.248,13.540788877722619,4.07,6.57,272,1720.0,1059.0,0.521,0.22,0.154,0.09027081243731194,0.32196589769307926,0.283851554663992,0.3039117352056169,11.425978329000001,10.103339249
26,6b29733,6d287d7,37203.0,3480.0,29.053,,26.682,0.5153410574084858,0.0195176803678641,0.31765426397060303,0.13030862834079637,0.006405493865585029,0.001305194674805727,0.009066083010381318,0.00040159836147868523,16.388,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.377,0.073,0.199,0.132,0.338,0.163,0.108,0.08,0.139,0.261,9.259738760485414,4.47,21.55,247,1949.0,1950.0,0.467,0.279,0.119,0.15254237288135591,0.32801595214356927,0.3888334995014955,0.13060817547357925,16.946455565,7.2665552815
27,9e8fcd3,8036085,4203.0,504.0,27.531,0.0,24.138,0.8552461496838583,0.0,0.02099261500846719,0.09535356774251731,0.0,0.0,0.024780304017154822,0.003627363548002445,14.665,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.48,0.054,0.321,0.191,0.264,0.16,0.084,,0.184,0.321,11.058849698437857,,39.6,236,4250.0,4250.0,0.51,0.214,0.21,0.08808808808808809,0.37437437437437443,0.34534534534534533,0.19219219219219222,15.107913669,15.107913669
28,f34b543,20d32fc,39788.0,5457.0,37.846,,35.006,0.5469077829953042,0.3704865620941153,0.04500949145768808,0.0016884803676690979,0.014177240483564791,0.0028174642821460682,0.017414327105604956,0.0014986512139074832,15.114,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Federal/State government-dependent,0.433,0.081,0.217,0.072,0.325,0.347,0.124,0.101,0.152,0.296,11.330086991205594,6.18,12.0,304,2889.0,1840.0,0.511,0.225,0.144,0.16183816183816185,0.30069930069930073,0.34465534465534464,0.19280719280719283,13.188362025999998,9.7150911104
29,a0b1eb5,08f8fb4,9472.0,869.0,22.716,3.0,33.62,0.9593055017531312,0.001698501147233231,0.015693753290225175,0.0013905857345769142,0.0,0.0,0.021911658074833376,0.0,20.485,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.389,0.089,0.279,0.121,0.293,,0.119,0.07,,0.321,10.806262426507347,,25.65,307,4860.0,4790.0,0.493,0.197,0.251,0.16666666666666669,0.43975903614457834,0.26506024096385544,0.12851405622489961,9.4756790903,14.424089282
30,b946ff5,1dcfd4e,14543.0,1961.0,31.362,,29.772,0.5314833300059891,0.017298862048313036,0.42024356158913956,0.010371331603114393,0.0068277101217807945,0.0004991016170892394,0.011379516869634655,0.0018965861449391096,8.455,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.459,0.074,0.223,0.113,0.243,0.3,0.075,0.109,0.156,0.217,12.931392526088729,10.86,30.93,256,2239.0,2140.0,0.486,0.201,0.194,0.15737051792828685,0.2828685258964143,0.3894422310756972,0.1703187250996016,8.429038036,11.449443332000001
31,ae4dd4b,b795815,10591.0,999.0,26.133,1.0,21.008,0.539934914927382,0.016090476286133266,0.43257467708563513,0.0010043992687973325,0.0014061589763162657,0.002410558245113598,0.006578815210622528,0.0,9.762,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.53,0.03,0.263,0.107,0.341,0.169,0.08,0.05,0.181,0.293,10.754748918327264,,29.31,211,5379.0,5300.0,0.482,0.299,0.131,0.2811244979919679,0.33232931726907633,0.25301204819277107,0.13353413654618473,17.539678757,8.1978933321
32,49e4d3b,8036085,1043.0,125.0,25.425,-1.0,17.492,0.9714362786236663,0.0,0.0057247332454142185,0.02092075290732526,0.0,0.0,0.0019182352235942934,0.0,7.59,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.578,0.027,0.356,0.266,0.241,0.199,0.079,,,0.292,10.703576710883562,,,192,,,0.499,0.239,0.216,0.07876370887337986,0.4446660019940179,0.32801595214356927,0.14855433698903286,5.4284606437,6.979449399
33,678b4b5,9d0874a,167030.0,15268.0,26.631,1469.0,28.706,0.6829103147497237,0.23498192753089248,0.049866074540222446,0.00079658266038694,0.013253144012187714,9.95728325483675e-05,0.01669836401836123,0.0013940196556771452,6.925,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.476,0.054,0.217,0.085,0.327,0.234,0.109,0.081,0.119,0.302,12.494224672308654,3.04,20.71,304,2870.0,3899.0,0.509,0.273,0.109,0.11244979919678715,0.2991967871485944,0.3654618473895582,0.22289156626506024,11.909675137,7.3462649608
34,a310b65,528ea9f,29589.0,3878.0,34.542,,29.974,0.8634033338369342,0.06911416628896612,0.030669285390542384,0.00040288059626328256,0.008118044014705143,0.0,0.027788689127259913,0.0005036007453291032,11.562,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.417,0.07,0.195,0.061,0.305,0.211,0.123,0.091,,0.285,13.210841489294959,,16.27,258,1540.0,1050.0,0.516,0.211,0.171,0.14342629482071712,0.349601593625498,0.28087649402390436,0.22609561752988047,11.442032643,10.432441528
35,bc192e7,7dd3518,3302.0,276.0,46.884,,22.064,0.14920799688588568,0.09135733463753506,0.12138059068360799,0.2910998213376718,0.3042649392647896,0.011079060575512284,0.03161025661499765,0.0,12.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.678,0.045,0.49,0.281,0.322,0.383,0.078,,0.396,0.312,,,,149,4900.0,,0.324,0.102,0.063,0.185,0.391,0.284,0.14,5.4561988481,2.7280994241000003
36,5e544b9,528ea9f,60011.0,7302.0,30.503,151.0,28.536,0.9594072036516574,0.008650760429747453,0.014182064621579064,0.0026909047419721344,0.0056309673304231695,0.0,0.00874045725447986,0.0006976419701409238,18.997,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.403,0.076,0.238,0.065,0.326,0.296,0.118,0.08,0.093,0.331,13.080330218888706,5.96,24.56,332,2499.0,2280.0,0.507,0.239,0.138,0.23980099502487565,0.37810945273631846,0.26069651741293537,0.12139303482587066,11.486289077,9.4661713761
37,cef221b,e2f94fa,6179.0,593.0,21.55,1.0,21.684,0.917265935907282,0.003979613209523145,0.06467120814673702,0.003480914812339793,0.002573283729466094,0.0,0.008029044194651959,0.0,5.383,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.56,0.033,0.159,0.066,0.296,,0.087,0.04,,0.278,12.498448494903704,,24.8,308,6290.0,3170.0,0.493,0.225,0.206,0.14228456913827653,0.37374749498997994,0.30861723446893785,0.1753507014028056,12.259053149000001,10.484716509
38,9d68ed9,9e0007d,7940.0,1028.0,34.115,,26.498,0.5370510377919577,0.4089172488180562,0.028215441376599024,0.0004032217417163133,0.022610659166742268,0.0,0.0028023911049283776,0.0,10.757,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.37,0.093,0.259,0.055,0.331,,0.137,0.15,,0.361,11.765662243023433,17.02,36.44,384,4190.0,1609.0,0.51,0.234,0.192,0.16933867735470942,0.503006012024048,0.19539078156312623,0.13226452905811623,8.4307338571,13.66800792
39,f59fa79,c479f0c,21758.0,2017.0,23.901,-1.0,29.654,0.8630187329903256,0.08737758000754883,0.0225371977989233,0.0029698643199110035,0.004390234212042353,0.0,0.018107232960527624,0.0015991577107213096,11.656,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.412,0.085,0.167,0.039,0.286,,0.094,0.09,,0.272,12.57967239405777,,17.76,263,3499.0,2020.0,0.455,0.201,0.163,0.14029850746268657,0.3830845771144279,0.34228855721393037,0.13432835820895525,10.484988453,11.131639723
40,7c450d1,4522abc,20981.0,2437.0,29.936,63.0,32.96,0.43667725375042443,0.5261780627634286,0.021613631369728933,0.0,0.00520365154511496,0.0,0.009927887976668465,0.00039951259463454585,20.612,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.37,0.081,0.26,0.083,0.344,0.263,0.148,0.119,,0.276,12.919077167268266,,24.52,323,5690.0,1239.0,0.493,0.23,0.147,0.2215568862275449,0.41317365269461076,0.23552894211576844,0.12974051896207586,12.45275705,10.320767516
41,e043b4f,1b0d913,725489.0,97063.0,35.276,2268.0,28.412,0.6191515127253077,0.08742081085679401,0.1900639518009588,0.0028222860517018787,0.0723886347941833,0.0007105755662086291,0.025340525825919,0.002101702378926931,5.893,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.549,0.044,0.207,0.106,0.297,0.101,0.084,0.07,0.134,0.214,9.697625673774615,1.54,7.029999999999999,210,2050.0,1900.0,0.512,0.272,0.078,0.08157099697885196,0.1943605236656596,0.3121852970795569,0.41188318227593146,13.141566212,4.2400860981
42,b7c2cc1,485e9af,16633.0,1716.0,30.057,,37.132,0.46251221019476496,0.49985048741103993,0.01357574307756713,0.0034886270757331092,0.0002990251779199808,0.0002990251779199808,0.019974881885054717,0.0,21.64,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.388,0.074,0.269,0.069,0.358,0.224,0.15,0.14,0.12,0.34,11.301585574249152,,18.23,341,4929.0,2410.0,0.444,0.187,0.17,0.2365269461077844,0.4091816367265469,0.22654690618762477,0.1277445109780439,11.143410852999999,11.506782946
43,e3e9623,dc9ae72,6300.0,829.0,27.182,1.0,24.212,0.962002195827927,0.003673021259606748,0.018754366703263803,0.005888811258608644,0.006976744186046512,0.0,0.0027048607645473607,0.0,5.291,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.616,0.033,0.152,0.066,0.29,0.141,0.108,0.069,0.125,0.28,11.09634163658042,,21.26,256,2199.0,1250.0,0.494,0.216,0.218,0.049850448654037885,0.33798604187437686,0.35393818544366895,0.2582253240279162,12.062534719,13.64971034
