row_id,gross_rent
402,674
403,598
404,718
405,406
406,964
407,531
408,539
409,533
410,648
411,785
412,624
413,610
414,432
415,670
416,588
417,553
418,587
419,462
420,634
421,605
422,592
423,659
424,618
425,846
426,632
427,629
428,655
429,645
430,604
431,609
432,585
433,978
434,686
435,580
436,580
437,683
438,614
439,571
440,723
441,658
442,600
443,700
444,964
445,663
446,634
447,622
448,565
449,837
450,560
451,606
452,832
453,913
454,570
455,1074
456,515
457,525
458,443
459,644
460,596
461,798
462,1470
463,595
464,719
465,658
466,528
467,1197
468,791
469,694
470,985
471,673
472,796
473,661
474,735
475,772
476,696
477,829
478,952
479,779
480,572
481,868
482,612
483,974
484,596
485,552
486,671
487,515
488,696
489,1143
490,729
491,905
492,713
493,508
494,571
495,589
496,702
497,666
498,655
499,674
500,501
501,1169
502,625
503,971
504,513
505,686
506,729
507,623
508,915
509,566
510,674
511,705
512,814
513,939
514,602
515,829
516,665
517,812
518,532
519,520
520,626
521,481
522,581
523,556
524,613
525,588
526,585
527,872
528,707
529,505
530,696
531,351
532,582
533,936
534,600
535,592
536,591
537,683
538,701
539,584
540,551
541,611
542,661
543,624
544,710
545,526
546,1143
547,563
548,593
549,635
550,1299
551,913
552,612
553,866
554,546
555,746
556,665
557,769
558,626
559,515
560,778
561,581
562,467
563,556
564,1827
565,533
566,635
567,614
568,646
569,656
570,531
571,594
572,842
573,622
574,525
575,569
576,495
577,913
578,725
579,586
580,817
581,521
582,675
583,551
584,532
585,744
586,658
587,756
588,639
589,1186
590,639
591,657
592,444
593,760
594,665
595,771
596,729
597,754
598,622
599,707
600,648
601,697
602,644
603,705
604,673
605,634
606,556
607,539
608,1068
609,662
610,546
611,933
612,679
613,547
614,479
615,1014
616,584
617,936
618,796
619,620
620,682
621,913
622,555
623,584
624,711
625,526
626,1320
627,954
628,984
629,807
630,563
631,913
632,501
633,951
634,757
635,653
636,1517
637,780
638,820
639,732
640,529
641,550
642,518
643,962
644,575
645,596
646,566
647,692
648,1278
649,1179
650,514
651,1132
652,566
653,569
654,785
655,772
656,453
657,764
658,615
659,1385
660,1236
661,665
662,631
663,468
664,484
665,667
666,674
667,538
668,562
669,744
670,1027
671,629
672,612
673,625
674,774
675,944
676,766
677,900
678,715
679,590
680,779
681,486
682,511
683,701
684,592
685,554
686,540
687,603
688,472
689,931
690,535
691,597
692,559
693,900
694,638
695,661
696,741
697,474
698,703
699,691
700,623
701,538
702,539
703,948
704,1353
705,584
706,751
707,479
708,551
709,847
710,616
711,1389
712,682
713,900
714,588
715,887
716,782
717,637
718,561
719,651
720,676
721,547
722,834
723,731
724,620
725,716
726,647
727,694
728,1285
729,513
730,1061
731,562
732,671
733,611
734,1022
735,541
736,1327
737,747
738,884
739,1040
740,543
741,560
742,665
743,569
744,787
745,803
746,526
747,688
748,731
749,733
750,932
751,704
752,787
753,553
754,640
755,858
756,501
757,703
758,619
759,621
760,668
761,883
762,556
763,849
764,899
765,626
766,506
767,415
768,1155
769,768
770,748
771,578
772,923
773,638
774,667
775,583
776,632
777,580
778,516
779,849
780,868
781,1024
782,1024
783,666
784,665
785,502
786,556
787,442
788,646
789,673
790,623
791,756
792,565
793,1052
794,1009
795,539
796,676
797,579
798,672
799,451
800,657
801,620
802,671
803,678
804,490
805,550
806,640
807,678
808,892
809,393
810,736
811,626
812,567
813,764
814,551
815,834
816,873
817,993
818,617
819,599
820,540
821,674
822,621
823,1369
824,575
825,974
826,773
827,767
828,546
829,779
830,678
831,711
832,917
833,548
834,744
835,528
836,726
837,609
838,774
839,1137
840,1170
841,490
842,650
843,814
844,394
845,610
846,629
847,607
848,626
849,1188
850,580
851,473
852,793
853,532
854,644
855,461
856,558
857,635
858,391
859,550
860,907
861,630
862,936
863,550
864,616
865,580
866,689
867,873
868,460
869,898
870,925
871,800
872,618
873,771
874,615
875,835
876,591
877,584
878,610
879,568
880,802
881,833
882,1191
883,1159
884,657
885,783
886,812
887,639
888,542
889,596
890,712
891,1176
892,711
893,608
894,882
895,537
896,466
897,1057
898,478
899,630
900,561
901,953
902,593
903,594
904,775
905,652
906,672
907,795
908,677
909,626
910,689
911,704
912,510
913,1011
914,802
915,792
916,680
917,533
918,731
919,640
920,574
921,750
922,536
923,560
924,608
925,556
926,716
927,378
928,508
929,630
930,739
931,551
932,757
933,653
934,614
935,607
936,627
937,539
938,424
939,649
940,625
941,647
942,730
943,827
944,1006
945,1348
946,645
947,746
948,671
949,559
950,790
951,533
952,742
953,1231
954,626
955,892
956,727
957,562
958,616
959,501
960,468
961,540
962,1038
963,814
964,1104
965,613
966,546
967,796
968,592
969,837
970,622
971,945
972,559
973,754
974,561
975,776
976,573
977,712
978,646
979,713
980,465
981,676
982,623
983,507
984,534
985,628
986,1050
987,477
988,438
989,931
990,505
991,712
992,643
993,675
994,499
995,574
996,752
997,496
998,832
999,498
1000,757
1001,981
1002,1042
1003,722
1004,594
1005,569
1006,1031
1007,1043
1008,560
1009,638
1010,489
1011,779
1012,575
1013,692
1014,603
1015,687
1016,1445
1017,512
1018,760
1019,768
1020,767
1021,843
1022,512
1023,612
1024,726
1025,738
1026,567
1027,684
1028,588
1029,607
1030,601
1031,533
1032,540
1033,579
1034,1158
1035,713
1036,607
1037,812
1038,861
1039,672
1040,460
1041,738
1042,624
1043,500
1044,647
1045,681
1046,884
1047,780
1048,1357
1049,665
1050,726
1051,542
1052,532
1053,708
1054,556
1055,724
1056,834
1057,538
1058,534
1059,563
1060,762
1061,411
1062,626
1063,796
1064,764
1065,588
1066,641
1067,696
1068,919
1069,619
1070,520
1071,683
1072,676
1073,504
1074,899
1075,823
1076,611
1077,710
1078,647
1079,554
1080,689
1081,517
1082,612
1083,572
1084,693
1085,700
1086,697
1087,565
1088,593
1089,549
1090,748
1091,756
1092,451
1093,705
1094,902
1095,554
1096,624
1097,590
1098,529
1099,616
1100,551
1101,1035
1102,795
1103,796
1104,720
1105,605
1106,543
1107,471
1108,859
1109,610
1110,707
1111,621
1112,909
1113,534
1114,569
1115,808
1116,536
1117,895
1118,615
1119,732
1120,566
1121,1204
1122,955
1123,557
1124,531
1125,525
1126,1032
1127,574
1128,655
1129,1130
1130,727
1131,773
1132,608
1133,597
1134,596
1135,755
1136,424
1137,629
1138,782
1139,456
1140,785
1141,743
1142,516
1143,614
1144,670
1145,713
1146,659
1147,487
1148,751
1149,635
1150,785
1151,632
1152,551
1153,734
1154,632
1155,666
1156,654
1157,575
1158,599
1159,805
1160,727
1161,650
1162,971
1163,737
1164,479
1165,448
1166,870
1167,594
1168,498
1169,696
1170,678
1171,703
1172,668
1173,691
1174,580
1175,743
1176,618
1177,618
1178,598
1179,604
1180,644
1181,513
1182,594
1183,621
1184,504
1185,601
1186,583
1187,545
1188,487
1189,825
1190,504
1191,497
1192,423
1193,605
1194,535
1195,794
1196,1087
1197,708
1198,608
1199,1191
1200,703
1201,858
1202,583
1203,668
1204,764
1205,722
1206,870
1207,670
1208,771
1209,1102
1210,714
1211,588
1212,587
1213,1003
1214,753
1215,463
1216,473
1217,723
1218,992
1219,619
1220,578
1221,886
1222,547
1223,964
1224,845
1225,680
1226,492
1227,590
1228,672
1229,615
1230,520
1231,1172
1232,614
1233,686
1234,759
1235,498
1236,564
1237,716
1238,691
1239,796
1240,596
1241,676
1242,647
1243,594
1244,694
1245,818
1246,558
1247,787
1248,703
1249,437
1250,1026
1251,508
1252,688
1253,621
1254,531
1255,502
1256,691
1257,682
1258,991
1259,1144
1260,408
1261,630
1262,786
1263,446
1264,522
1265,666
1266,1141
1267,625
1268,511
1269,633
1270,857
1271,537
1272,826
1273,840
1274,884
1275,777
1276,975
1277,885
1278,566
1279,659
1280,634
1281,605
1282,1027
1283,652
1284,575
1285,938
1286,578
1287,711
1288,774
1289,1668
1290,879
1291,564
1292,705
1293,594
1294,560
1295,579
1296,534
1297,555
1298,625
1299,680
1300,667
1301,587
1302,721
1303,768
1304,590
1305,675
1306,728
1307,616
1308,515
1309,548
1310,800
1311,722
1312,464
1313,811
1314,731
1315,608
1316,672
1317,567
1318,868
1319,468
1320,454
1321,655
1322,899
1323,881
1324,630
1325,522
1326,629
1327,698
1328,356
1329,860
1330,523
1331,640
1332,562
1333,654
1334,836
1335,653
1336,788
1337,1028
1338,475
1339,531
1340,575
1341,883
1342,591
1343,503
1344,621
1345,565
1346,654
1347,618
1348,588
1349,508
1350,947
1351,692
1352,982
1353,796
1354,576
1355,618
1356,721
1357,861
1358,1039
1359,822
1360,630
1361,1023
1362,680
1363,1076
1364,531
1365,762
1366,960
1367,720
1368,826
1369,837
1370,473
1371,529
1372,543
1373,532
1374,724
1375,723
1376,678
1377,762
1378,684
1379,845
1380,562
1381,617
1382,625
1383,393
1384,768
1385,541
1386,650
1387,670
1388,776
1389,1169
1390,771
1391,703
1392,989
1393,599
1394,540
1395,572
1396,896
1397,638
1398,586
1399,778
1400,694
1401,792
1402,573
1403,629
1404,1031
1405,709
1406,498
1407,706
1408,588
1409,468
1410,597
1411,666
1412,625
1413,819
1414,1405
1415,1063
1416,585
1417,666
1418,688
1419,840
1420,1298
1421,503
1422,671
1423,871
1424,596
1425,601
1426,597
1427,677
1428,761
1429,903
1430,608
1431,929
1432,588
1433,590
1434,832
1435,575
1436,971
1437,596
1438,674
1439,476
1440,704
1441,622
1442,707
1443,1569
1444,688
1445,826
1446,578
1447,639
1448,1678
1449,569
1450,524
1451,598
1452,795
1453,705
1454,630
1455,605
1456,1336
1457,553
1458,844
1459,908
1460,469
1461,591
1462,480
1463,1747
1464,802
1465,679
1466,640
1467,863
1468,420
1469,725
1470,945
1471,539
1472,617
1473,1049
1474,554
1475,642
1476,919
1477,499
1478,725
1479,641
1480,662
1481,606
1482,584
1483,585
1484,688
1485,592
1486,752
1487,576
1488,705
1489,646
1490,606
1491,699
1492,780
1493,814
1494,904
1495,445
1496,887
1497,747
1498,841
1499,657
1500,787
1501,671
1502,528
1503,694
1504,582
1505,643
1506,728
1507,555
1508,636
1509,595
1510,658
1511,727
1512,704
1513,433
1514,1095
1515,544
1516,859
1517,763
1518,744
1519,790
1520,653
1521,618
1522,622
1523,607
1524,584
1525,801
1526,594
1527,907
1528,516
1529,744
1530,745
1531,765
1532,742
1533,1002
1534,834
1535,622
1536,629
1537,722
1538,635
1539,669
1540,573
1541,610
1542,762
1543,528
1544,460
1545,716
1546,1039
1547,589
1548,635
1549,845
1550,579
1551,530
1552,563
1553,818
1554,545
1555,576
1556,799
1557,928
1558,640
1559,754
1560,640
1561,976
